fold_id,train_start,train_end,test_start,test_end,n_train,n_test,up_xgb_rmse,up_xgb_mae,up_naive_rmse,up_naive_mae,dn_xgb_rmse,dn_xgb_mae,dn_naive_rmse,dn_naive_mae
1,2018-03-01,2019-02-28,2019-03-06,2019-05-31,23100,6100,0.02964612755081453,0.019334188602619512,0.03265478286764856,0.02210140451546637,0.032483295524222355,0.025444469783603735,0.03215954026789554,0.02159000088367645
2,2018-06-01,2019-05-31,2019-06-06,2019-08-31,25100,6100,0.02827776976648599,0.020704397542372986,0.033059653708261194,0.023681958816189196,0.03078304396449064,0.02303606179069038,0.03223311859668532,0.02194301800576096
3,2018-09-01,2019-08-31,2019-09-06,2019-11-30,25000,6000,0.029541204922704362,0.020182759998271706,0.03271313077598709,0.022388349482126153,0.03238142629905505,0.0254731597083637,0.027475767045406378,0.01870928027004856
4,2018-12-01,2019-11-30,2019-12-06,2020-02-29,25000,5700,0.033630585051847094,0.021447407797417165,0.03761913240821575,0.024832067068218847,0.04151444643976109,0.026179503824729493,0.04382505904223337,0.026688051400640532
5,2019-03-01,2020-02-29,2020-03-06,2020-05-31,25200,5900,0.08769949521695335,0.057192412806487826,0.0968524159614494,0.06574486691051773,0.09770443610751416,0.07576833618046287,0.08245653090257168,0.053546988028342464
6,2019-06-01,2020-05-31,2020-06-06,2020-08-31,25100,6000,0.040013061877113856,0.028920345661853978,0.046647061867191246,0.03178134342269176,0.03356439475904474,0.023803036890798844,0.03791528526269962,0.025388955804838
7,2019-09-01,2020-08-31,2020-09-06,2020-11-30,25200,5900,0.04856001072960734,0.032309456280934505,0.05649821593787377,0.037583450997621205,0.03689109578317777,0.026702438415562742,0.03781304226829931,0.026690224778493064
8,2019-12-01,2020-11-30,2020-12-06,2021-02-28,25200,5600,0.03802945915951432,0.02650643990024332,0.0448856408592918,0.030310604684199487,0.036777799089075636,0.027119422352462615,0.03488809010858438,0.025398400085333027
9,2020-03-01,2021-02-28,2021-03-06,2021-05-31,25100,5900,0.02959401891906425,0.021357224715608244,0.03613690022644427,0.02622970780530677,0.03414281751741091,0.02781634511781741,0.030614710696121532,0.02078397074017393
10,2020-06-01,2021-05-31,2021-06-06,2021-08-31,25200,6100,0.027437880481127663,0.0187402201435832,0.033021961936510746,0.022279334779793058,0.026475232778098497,0.01877246829784128,0.02865120674640475,0.019232049600213054
11,2020-09-01,2021-08-31,2021-09-06,2021-11-30,25200,6000,0.032454522984834845,0.02309192786684495,0.037018638898755056,0.024684731962107558,0.030576829265917538,0.021993541060489563,0.03399112167548803,0.02410113481365813
12,2020-12-01,2021-11-30,2021-12-06,2022-02-28,25200,5800,0.03845336910010724,0.02677515114103602,0.043869442313407725,0.02959187508775057,0.041309478665085705,0.031430075373789806,0.047033124920814226,0.03349841815182721
13,2021-03-01,2022-02-28,2022-03-06,2022-05-31,25300,6000,0.04187853318020307,0.031127835883225232,0.04847691888605356,0.035767506430151697,0.04634405324373091,0.03408669062433245,0.05072974761727192,0.03493485368606742
14,2021-06-01,2022-05-31,2022-06-06,2022-08-31,25300,6100,0.04667499560311798,0.032369251961768784,0.0471741855357945,0.03298973415671678,0.05042417465909528,0.03979525248503708,0.04870402018276458,0.03433931063970733
15,2021-09-01,2022-08-31,2022-09-06,2022-11-30,25200,6100,0.04347698471031622,0.03191342953154303,0.05166066821306152,0.036930507825922186,0.043246727896754884,0.030522942421146556,0.046146879295389034,0.032642940802740855
16,2021-12-01,2022-11-30,2022-12-06,2023-02-28,25200,5700,0.040666088598212004,0.02717455956343264,0.04154391916711161,0.027842748199748166,0.044851825965185874,0.035232824415433954,0.03398194088974284,0.024607034596634717
17,2022-03-01,2023-02-28,2023-03-06,2023-05-31,25100,6100,0.03420890105476327,0.023953007068978825,0.038446641574578604,0.02640733767992907,0.03128131337713334,0.022197373797746372,0.03306917026234521,0.02304143802216137
18,2022-06-01,2023-05-31,2023-06-06,2023-08-31,25100,6100,0.03195645309220222,0.02292068214894814,0.0343154559788514,0.02377131811217112,0.02916492575724433,0.022481176341862984,0.028558651366865237,0.020073757884631283
19,2022-09-01,2023-08-31,2023-09-06,2023-11-30,25100,6100,0.030330564254637114,0.022641650122537885,0.035535531651413044,0.024559890079540618,0.028613906859843025,0.020474483995723314,0.0318451584535024,0.022613210500605305
20,2022-12-01,2023-11-30,2023-12-06,2024-02-29,25100,5800,0.03129252674382593,0.021141249388290234,0.03720305384623517,0.02587070296162223,0.02815471799649901,0.019968910851324805,0.0290114611110562,0.018910458935636455
21,2023-03-01,2024-02-29,2024-03-06,2024-05-31,25200,6100,0.02935198579265623,0.021133358481795688,0.033588421897733416,0.023316569241827755,0.03131757371846293,0.022201097028772022,0.03194168047321197,0.021490866276504577
22,2023-06-01,2024-05-31,2024-06-06,2024-08-31,25200,6000,0.035075255973646545,0.02448337411573479,0.040050349632436824,0.027669495735062607,0.034153279082863884,0.023046106791851838,0.038194819461628365,0.0246738680313503
23,2023-09-01,2024-08-31,2024-09-06,2024-11-30,25100,6000,0.03421420379650581,0.02399256534256844,0.040626570728213726,0.02784900139782847,0.03230603595005437,0.02418856769011764,0.029299807743155448,0.020343434157224668
24,2023-12-01,2024-11-30,2024-12-06,2025-02-28,25100,5600,0.036362079118890785,0.025839343685035775,0.03992706128379481,0.026456327977783987,0.03543927088277808,0.024003906456830836,0.04002177918199533,0.027377522025128356
25,2024-03-01,2025-02-28,2025-03-06,2025-05-31,25000,6000,0.04812097906369693,0.03528767489185688,0.050829499412340946,0.034800571722280495,0.04715666493307333,0.0315467044692706,0.05155249548917409,0.03372057406436474
26,2024-06-01,2025-05-31,2025-06-06,2025-08-31,24900,5900,0.03142720371477428,0.021856205546828288,0.03691970810620703,0.02592549312583439,0.03513158163223256,0.024705311188869948,0.03547247717924259,0.022699650543617313
27,2024-09-01,2025-08-31,2025-09-06,2025-11-30,24900,5900,0.03714264952319948,0.024787403099872228,0.042529602584009334,0.02772034126322578,0.03274558827817774,0.02291636654792618,0.035215030869555894,0.024507308373554047
28,2024-12-01,2025-11-30,2025-12-06,2026-02-28,24900,5600,0.03822052564065411,0.02697440607454775,0.043616653460901794,0.030364545327364708,0.037196173547501536,0.026281143137544857,0.04123000735807795,0.028241976462723833
