fold_id,train_start,train_end,test_start,test_end,n_train,n_test,up_cvae_rmse,up_cvae_mae,up_cvae_nll,up_naive_rmse,up_naive_mae,dn_cvae_rmse,dn_cvae_mae,dn_cvae_nll,dn_naive_rmse,dn_naive_mae
1,2018-03-01,2019-02-28,2019-03-06,2019-05-31,23100,6100,0.03356587999067398,0.0256168395280838,2.562328941470287,0.03265478548824636,0.022101408783703654,0.02972765652821413,0.02005166932940483,8.529290111103997,0.032159546283452634,0.02159000662765109
2,2018-06-01,2019-05-31,2019-06-06,2019-08-31,25100,6100,0.026615565732526814,0.01842055469751358,4.217519871445953,0.033059655764501435,0.02368196075802994,0.028561263843738832,0.019812479615211487,8.959024237961065,0.032233117362122345,0.0219430196845917
3,2018-09-01,2019-08-31,2019-09-06,2019-11-30,25000,6000,0.0270097915178418,0.018022336065769196,4.001736409505209,0.03271313226790516,0.022388347689492244,0.02485137285689638,0.017928235232830048,7.456956359863281,0.027475766898151642,0.0187092793070282
4,2018-12-01,2019-11-30,2019-12-06,2020-02-29,25000,5700,0.03202321639441821,0.02058182656764984,16.79219906455592,0.03761912992780933,0.02483206821800945,0.039621581180353194,0.02451520413160324,20.40617500171327,0.04382505635852101,0.026688049054037516
5,2019-03-01,2020-02-29,2020-03-06,2020-05-31,25200,5900,0.08480648273446204,0.05416394770145416,17.56119239936441,0.0968524120746516,0.0657448629876172,0.08042891937859885,0.05216116085648537,77.90375628972457,0.0824565324162672,0.05354698903156347
6,2019-06-01,2020-05-31,2020-06-06,2020-08-31,25100,6000,0.03876165531018321,0.02625323459506035,3.5330738728841147,0.04664706356131641,0.031781339583366694,0.03523241342922667,0.025638092309236526,4.808839619954427,0.037915276901561316,0.02538894867145973
7,2019-09-01,2020-08-31,2020-09-06,2020-11-30,25200,5900,0.04502681727005186,0.029734328389167786,10.110420542571504,0.05649821625378445,0.03758345523955209,0.03457174917781084,0.02489471435546875,6.646520437466896,0.03781303953863243,0.026690221090635315
8,2019-12-01,2020-11-30,2020-12-06,2021-02-28,25200,5600,0.036286226524656844,0.027103010565042496,1.6032197897774834,0.044885642374844374,0.030310607333876253,0.030751685557468815,0.022306237369775772,2.759185137067522,0.03488808831116706,0.02539839779687814
9,2020-03-01,2021-02-28,2021-03-06,2021-05-31,25100,5900,0.03317385673802455,0.026023507118225098,1.3991657321735964,0.03613689958121623,0.026229702670664712,0.030545044936241935,0.023682931438088417,2.802128233828787,0.030614707726198707,0.02078396819645774
10,2020-06-01,2021-05-31,2021-06-06,2021-08-31,25200,6100,0.02673526761736108,0.018039584159851074,7.062596015304815,0.03302196764388143,0.022279339289663885,0.025389350345601386,0.01755068637430668,6.574112548828125,0.028651202641544953,0.019232049571541003
11,2020-09-01,2021-08-31,2021-09-06,2021-11-30,25200,6000,0.03140736794676401,0.022001581266522408,11.147831258138021,0.03701864122783673,0.024684736748406672,0.030338226677080738,0.02111436426639557,15.299032430013021,0.03399112249005601,0.02410113870733282
12,2020-12-01,2021-11-30,2021-12-06,2022-02-28,25200,5800,0.03888423296706182,0.02923973836004734,3.0412241231984107,0.043869438530580084,0.02959187403865426,0.03933930520649361,0.02762126550078392,7.0461518912479795,0.047033127759729156,0.033498418622177645
13,2021-03-01,2022-02-28,2022-03-06,2022-05-31,25300,6000,0.04060090380857892,0.030835317447781563,2.30715293375651,0.04847691383158878,0.035767501438536936,0.04291032753338528,0.031698502600193024,6.910616984049479,0.05072974823839186,0.03493485820197384
14,2021-06-01,2022-05-31,2022-06-06,2022-08-31,25300,6100,0.04070131894377082,0.030295532196760178,2.145629592645364,0.047174185624493284,0.0329897347965891,0.041673993358078,0.03131868317723274,5.4856624215548155,0.0487040183498683,0.0343393103878025
15,2021-09-01,2022-08-31,2022-09-06,2022-11-30,25200,6100,0.041415160329289886,0.030038734897971153,2.362861698338243,0.051660668553047344,0.0369305080130731,0.039367851730071776,0.028366539627313614,8.516596239433914,0.04614687858889156,0.03264294092401005
16,2021-12-01,2022-11-30,2022-12-06,2023-02-28,25200,5700,0.03554531063840035,0.023387044668197632,3.7416607318008155,0.04154391681226132,0.027842743504802536,0.029616980376421197,0.022095348685979843,2.8793646896094605,0.03398193879923986,0.024607031997913285
17,2022-03-01,2023-02-28,2023-03-06,2023-05-31,25100,6100,0.032365501252270494,0.023768840357661247,1.7909412721727715,0.03844664017202512,0.026407338845378422,0.02912627657266565,0.020662937313318253,4.599073886558658,0.033069169614510806,0.023041435430375595
18,2022-06-01,2023-05-31,2023-06-06,2023-08-31,25100,6100,0.028007841926556587,0.019254473969340324,3.1107605480756915,0.03431545456427583,0.023771317108739972,0.02580628236446744,0.019250163808465004,9.573655265432889,0.028558653591513286,0.020073761805454778
19,2022-09-01,2023-08-31,2023-09-06,2023-11-30,25100,6100,0.02971540064639007,0.02176150493323803,6.360049948770492,0.03553553671733731,0.024559894656248332,0.028010752382633345,0.02058892697095871,6.821256683849898,0.031845162414106204,0.022613214015241953
20,2022-12-01,2023-11-30,2023-12-06,2024-02-29,25100,5800,0.02961780089767269,0.02018914185464382,2.185203867945178,0.03720305620292372,0.025870708713880895,0.032909081792412725,0.026342449709773064,2.7299233798323006,0.02901146059633604,0.018910458420931295
21,2023-03-01,2024-02-29,2024-03-06,2024-05-31,25200,6100,0.02784751682972986,0.019383162260055542,3.6306228187435963,0.03358841996803062,0.023316568480062354,0.028280824640273504,0.019224688410758972,10.219613137167007,0.031941682174823155,0.02149086516442769
22,2023-06-01,2024-05-31,2024-06-06,2024-08-31,25200,6000,0.03368465901966064,0.0227806456387043,2.8164878946940104,0.04005035067390816,0.027669498222657542,0.03389224370170303,0.022721393033862114,14.442871622721354,0.03819482047032909,0.024673867046796884
23,2023-09-01,2024-08-31,2024-09-06,2024-11-30,25100,6000,0.032523834170085746,0.02265317738056183,10.20383329264323,0.04062657041350946,0.02784899912528969,0.02674757894898469,0.019185885787010193,6.442465901692708,0.02929980766294581,0.020343432407070722
24,2023-12-01,2024-11-30,2024-12-06,2025-02-28,25100,5600,0.035382968627554065,0.02445998787879944,13.519446759905135,0.03992705857355989,0.026456326782635122,0.03428599141198858,0.02361244708299637,11.885878208705357,0.0400217764762145,0.02737751785808119
25,2024-03-01,2025-02-28,2025-03-06,2025-05-31,25000,6000,0.041604423816317515,0.028278157114982605,13.534658081054687,0.05082950010925012,0.0348005739415806,0.046978560431534415,0.031161364167928696,15.200125732421874,0.0515524943198012,0.0337205735949974
26,2024-06-01,2025-05-31,2025-06-06,2025-08-31,24900,5900,0.03291785181327376,0.02474805898964405,2.116286377987619,0.03691970880883594,0.02592549389053355,0.03197646995664319,0.02145194821059704,4.491760036662473,0.03547247745594295,0.022699651790596857
27,2024-09-01,2025-08-31,2025-09-06,2025-11-30,24900,5900,0.036294607112562265,0.023270025849342346,4.228029619637182,0.0425296040224099,0.027720343280873187,0.030737254087423137,0.02158541977405548,6.207870059255827,0.03521503199049769,0.024507309925559686
28,2024-12-01,2025-11-30,2025-12-06,2026-02-28,24900,5600,0.03635982455794108,0.02597397193312645,14.39859872000558,0.04361687308625465,0.030364838399956885,0.03584680905338115,0.025307685136795044,10.910453142438616,0.0412143979035217,0.028231664635880276
29,2025-03-01,2026-02-28,2026-03-06,2026-05-31,25000,600,0.028885584932145093,0.022867431864142418,2.5798600769042968,0.029091731780489648,0.020039268650659022,0.030490648785917885,0.02285832166671753,7.0968106079101565,0.04047573499460138,0.03231279088155134
